Year,Police Service,City,Province,Civilian Consequences,Investigation Final Decision,Link
,,Ingersoll,Ontario,He was taken to hospital with a fractured back and possibly other injuries,"The offence that arises for consideration isdangerous driving causing bodily harmcontrary to section 320.13(2) of theCriminal Code.  As an offence of penal negligence, a simple want of care will not suffice to give rise to liability.  Rather, the offence is predicated, in part, on conduct that amounts to a marked departure from the level of care that a reasonable person would have observed in the circumstances.  In the instant case, the issue is whether there was a want of care in the manner in which theSOoperated his vehicle, sufficiently egregious to attract criminal sanction, that caused or contributed to the collision.  In my view, there was not.There is no evidence of any want of care on the part of theSO.  Having observed the Mercedes-Benz pass him at dangerously high speeds, the officer was within his rights in trying to stop the vehicle to issue an offence notice.  He too accelerated to about 180 km/h to try and narrow the gap with the Mercedes-Benz but only for a short period.  Realizing that the Mercedes-Benz was still pulling away, theSO, wisely, decided to disengage in the interests of public safety, slowing and bringing his cruiser to a stop by the side of the highway.  The officer was three kilometres away from the eventual site of the collision, which he came upon minutes later after receiving permission from theOPPcommunications centre to continue eastward.On the aforementioned-record, I am satisfied that theSOcomported himself with due care and regard for public safety, including the Complainant’s safety, throughout his brief engagement with the Complainant.  As such, there is no basis for proceeding with criminal charges in this case.  The file is closed.Date:	July 11, 2023Electronically approved byJoseph MartinoDirectorSpecial Investigations Unit",https://www.siu.on.ca/en/directors_report_details.php?drid=2498
,Kingston Police,Kingston,Ontario,The Complainant was transported to hospital in ambulance and diagnosed with a fractured right collarbone,,https://www.siu.on.ca/en/directors_report_details.php?drid=2488
,London Police Service,London,Ontario,Following his arrest the Complainant was taken to hospital and diagnosed with a fracture of the left forearm,,https://www.siu.on.ca/en/directors_report_details.php?drid=2487
,Peel Regional Police,Brampton,Ontario,His wife and son were fortunate to have escaped serious injury,,https://www.siu.on.ca/en/directors_report_details.php?drid=2479
,Niagara Regional Police Service,Niagara,Ontario,The Complainant was taken into custody and transported to hospital where he was treated for his injury and admitted for psychiatric examination,,https://www.siu.on.ca/en/directors_report_details.php?drid=2478
,Cornwall Police Service,Cornwall,Ontario,The Complainant was transported to hospital and treated for an overdose of his prescription anti-depressant medication,,https://www.siu.on.ca/en/directors_report_details.php?drid=2466
,Toronto Police Service,Niagara,Ontario,He had returned home from work to the apartment he shared with his brother to find him with a head injury,,https://www.siu.on.ca/en/directors_report_details.php?drid=2461
,London Police Service,Huron,Ontario,A passenger in the Honda – Complainant 2 and Complainant 1 and Complainant 3 from the Jeep suffered various fractures in the collision,"The offence that arises for consideration is dangerous driving causing bodily harm contrary to section 320.13(2) of theCriminal Code.  As an offence of penal negligence, a simple want of care will not suffice to give rise to liability.  Rather, the offence is predicated, in part, on conduct that amounts to a marked departure from the level of care that a reasonable person would have observed in the circumstances.  In the instant case, the issue is whether there was a want of care in the manner in which theSOoperated his vehicle, sufficiently egregious to attract criminal sanction, that caused or contributed to the collision.  In my view, there was not.TheSOwas engaged in the lawful exercise of his duties when he spotted the Jeep and attempted to stop it.  He had reason to believe that its occupants had just been involved in an act of violence involving the discharge of a firearm.With respect to the manner of theSO’s driving from the moment he observed the Jeep and tried to stop it until the collision, I am satisfied that the officer comported himself with due care and regard for public safety.  Indeed, the evidence indicates that theSOwas several hundred metres back of the Jeep when the collision occurred.  Nor does it appear that theSOtravelled at reckless speed or otherwise endangered the motorists around him.  He had his emergency equipment activated and topped out at about 90 km/h.In the result, as there are no reasonable grounds to believe that theSOtransgressed the limits of care prescribed by the criminal law in his brief engagement with the Jeep prior to the collision, there is no basis to proceed with criminal charges in this case. The file is closed.Date:	June 26, 2023Electronically approved byJoseph MartinoDirectorSpecial Investigations Unit",https://www.siu.on.ca/en/directors_report_details.php?drid=2452
,,Durham,Ontario,The Complainant was transported to hospital with a severed arm and multiple fractures,"The offence that arises for consideration is dangerous driving causing bodily harm contrary to section 320.13(2) of theCriminal Code.  As an offence of penal negligence, a simple want of care will not suffice to give rise to liability.  Rather, the offence is predicated, in part, on conduct that amounts to a marked departure from the level of care that a reasonable person would have observed in the circumstances.  In the instant case, the issue is whether there was a want of care in the manner in which theSOoperated his vehicle, sufficiently egregious to attract criminal sanction, that caused or contributed to the collision.  In my view, there was not.TheSOwas within his rights in seeking to stop the Complainant for speeding and operating a motorcycle without a licence.With respect to the officer’s driving from the point of his initial intervention to the time of the collision, I am satisfied that theSOcomported himself with due care and regard for public safety.  Appreciating the Complainant’s particular vulnerability on a motorcycle and the fact that it did not appear he was going to stop, the officer acted prudently in refusing to pursue the vehicle as it sped away from him.  Thereafter, theSOcontinued eastward on Highway 2 in the direction of the Complainant to see where he was going, but was well back of the motorcycle as it approached the Highway 418 intersection and then crashed.  It is true that theSO’s speeds were also north of 100 km/h as he neared the collision site, but it would appear this occurred near the tail end of the Complainant’s flight from the cruiser, or even after he had crashed.  There is also no indication of the officer’s speed having manifestly placed other motorists in harm’s way.In the result, as there are no reasonable grounds to believe that theSOtransgressed the limits of care prescribed by the criminal law in the events culminating in the Complainant’s collision, there is no basis for proceeding with criminal charges in this case.  The file is closed.Date:	June 19, 2023Electronically approved byJoseph MartinoDirectorSpecial Investigations Unit",https://www.siu.on.ca/en/directors_report_details.php?drid=2441
,Toronto Police Service,Niagara,Ontario,Complainant 1 suffered multiple fractures and internal bleeding,Special Investigations Unit,https://www.siu.on.ca/en/directors_report_details.php?drid=2440
